Date,"Beans brown,sold loose","Beef,boneless",Frozen chicken,"Gari white,sold loose","Rice,imported high quality sold loose",Titus:frozen,Tomato,Yam tuber
1/31/2017,353.60,1249.48,1419.75,219.56,402.01,884.82,247.55,210.58
2/28/2017,337.11,1270.67,1428.95,260.94,410.58,942.23,236.62,215.55
3/31/2017,353.28,1281.71,1555.51,273.67,418.71,964.63,268.64,255.86
4/30/2017,357.19,1323.10,1606.63,288.45,388.46,935.00,285.72,250.30
5/31/2017,365.86,1378.91,1605.97,292.97,410.55,969.64,339.72,279.15
6/30/2017,374.26,1393.42,1645.29,315.61,415.84,1012.18,375.00,292.06
7/31/2017,382.35,1376.91,1623.84,317.10,409.20,1014.54,394.13,294.12
8/31/2017,370.25,1276.85,1529.25,310.15,384.35,998.01,431.30,343.39
9/30/2017,404.84,1324.93,1570.26,301.99,398.01,973.99,322.39,259.51
10/31/2017,382.58,1312.73,1580.13,268.10,368.90,1050.38,291.53,223.63
11/30/2017,369.78,1286.86,1571.48,251.91,360.83,1125.88,286.39,212.27
12/31/2017,361.97,1236.44,1708.64,199.68,371.21,1109.21,276.18,211.61
1/31/2018,385.53,1298.70,1547.50,229.26,360.76,894.70,271.99,226.51
2/28/2018,387.48,1274.71,1548.87,210.21,365.21,901.49,267.10,230.85
3/31/2018,395.34,1262.51,1544.95,209.12,363.33,905.76,267.09,254.51
4/30/2018,395.19,1257.73,1537.85,208.21,369.35,898.62,289.49,279.61
5/31/2018,407.73,1275.77,1536.52,216.01,374.63,921.04,307.14,291.33
6/30/2018,418.78,1271.54,1537.25,216.72,373.47,950.28,317.67,285.84
7/31/2018,411.02,1262.73,1541.37,200.67,370.79,924.77,336.29,280.83
8/31/2018,410.16,1281.02,1533.22,198.82,375.02,946.55,336.65,292.97
9/30/2018,416.07,1281.64,1534.18,195.86,371.32,941.50,328.26,280.28
10/31/2018,411.05,1260.59,1558.22,188.39,373.04,923.92,306.59,252.21
11/30/2018,396.73,1251.45,1551.25,183.59,376.63,1105.17,294.36,239.15
12/31/2018,386.78,1270.81,1625.05,166.64,370.57,926.42,271.51,212.65
1/31/2019,382.76,1273.99,1614.19,165.80,366.04,935.02,265.49,211.21
2/28/2019,373.91,1254.99,1632.71,166.61,364.39,945.71,256.51,206.49
3/31/2019,368.07,1253.48,1910.70,163.51,361.90,945.66,240.30,200.88
4/30/2019,372.84,1271.10,1681.11,163.37,357.55,974.94,257.25,222.36
5/31/2019,365.32,1268.95,1701.62,161.55,361.39,949.22,249.52,216.03
6/30/2019,342.82,1240.44,1752.97,145.31,352.83,940.57,226.07,182.15
7/31/2019,327.18,1246.78,1783.38,151.73,356.10,927.61,203.55,170.85
8/31/2019,307.27,1244.23,1770.45,154.10,356.61,949.05,223.86,190.04
9/30/2019,318.99,1257.58,1901.64,154.55,371.13,952.31,227.50,190.23
10/31/2019,308.93,1281.59,1993.98,162.42,382.57,956.75,233.38,179.75
11/30/2019,307.30,1293.00,2008.39,160.06,445.45,975.39,251.21,203.20
12/31/2019,299.48,1292.52,1995.58,159.39,459.90,981.21,263.90,206.82
1/31/2020,285.61,1289.80,1983.14,159.64,453.24,962.96,237.22,193.04
