Date,Average,MOM,YOY
31/01/2016,109.59,,
29/02/2016,99.77,-0.09,
31/03/2016,135.7,0.36,
30/04/2016,162.83,0.2,
31/05/2016,150.28,-0.08,
30/06/2016,148.55,-0.01,
31/07/2016,147.67,-0.01,
31/08/2016,147.26,0,
30/09/2016,146.34,-0.01,
31/10/2016,145.95,0,
30/11/2016,146.69,0.01,
31/12/2016,146.71,0,
31/01/2017,148.69,0.01,0.36
28/02/2017,149.81,0.01,0.5
31/03/2017,149.39,0,0.1
30/04/2017,149.86,0,-0.08
31/05/2017,150.69,0.01,0
30/06/2017,150.29,0,0.01
31/07/2017,148.22,-0.01,0
31/08/2017,144.44,-0.03,-0.02
30/09/2017,144.52,0,-0.01
31/10/2017,145.99,0.01,0
30/11/2017,145.6,0,-0.01
31/12/2017,171.79,0.18,0.17
31/01/2018,190.88,0.11,0.28
28/02/2018,172.46,-0.1,0.15
31/03/2018,163.39,-0.05,0.09
30/04/2018,151.4,-0.07,0.01
31/05/2018,150.17,-0.01,0
30/06/2018,148.09,-0.01,-0.01
31/07/2018,146.82,-0.01,-0.01
31/08/2018,146.9,0,0.02
30/09/2018,147.33,0,0.02
31/10/2018,147.23,0,0.01
30/11/2018,147.46,0,0.01
31/12/2018,145.78,-0.01,-0.15
31/01/2019,145.7,0,-0.24
28/02/2019,145.29,0,-0.16
31/03/2019,145.32,0,-0.11
30/04/2019,145.92,0,-0.04
31/05/2019,145.03,-0.01,-0.03
30/06/2019,145.36,0,-0.02
31/07/2019,145.03,0,-0.01
31/08/2019,145.48,0,-0.01
30/09/2019,145.53,0,-0.01
31/10/2019,145.47,0,-0.01
30/11/2019,145.94,0,-0.01
31/12/2019,145.35,0,0
31/01/2020,145.37,0,0
29/02/2020,145.41,0,0
31/03/2020,145.4,0,0
30/04/2020,130.84,-0.1,-0.1
31/05/2020,129.67,-0.01,-0.11
30/06/2020,128.88,-0.01,-0.11
31/07/2020,143.63,0.11,-0.01
31/08/2020,148.78,0.04,0.02
30/09/2020,161.06,0.08,0.11
31/10/2020,161.17,0,0.11
30/11/2020,167.27,0.04,0.15
31/12/2020,165.7,-0.01,0.14
31/01/2021,164.1,-0.01,0.13
28/02/2021,166.24,0.01,0.14
31/03/2021,172.68,0.04,0.19
30/04/2021,166.38,-0.04,0.27
31/05/2021,168.06,0.01,0.3
30/06/2021,165.61,-0.01,0.28
31/07/2021,165.91,0,0.16
31/08/2021,164.91,-0.01,0.11
30/09/2021,164.85,0,0.02
31/10/2021,165.6,0,0.03
30/11/2021,167.6,0.01,0
31/12/2021,165.77,-0.01,0
31/01/2022,166.4,0,0.01
28/02/2022,170.42,0.02,0.03
31/03/2022,185.3,0.09,0.07
30/04/2022,172.61,-0.07,0.04
31/05/2022,173.08,0,0.03
30/06/2022,175.89,0.02,0.06
31/07/2022,190.01,0.08,0.15
31/08/2022,189.46,0,0.15
30/09/2022,191.65,0.01,0.16
31/10/2022,195.29,0.02,0.18
30/11/2022,202.48,0.04,0.21
31/12/2022,206.26,0.02,0.24
31/01/2023,257.12,0.25,0.55
28/02/2023,263.76,0.03,0.55
31/03/2023,264.29,0,0.43
30/04/2023,254.06,-0.04,0.47
31/05/2023,238.11,-0.06,0.38
30/06/2023,545.83,1.29,2.1
31/07/2023,600.35,0.1,2.16
31/08/2023,626.7,0.04,2.31
